chr	start	end	motif1.distancePeakMax	motif1.score	motif2.distancePeakMax	motif2.score
chr5	122081012	122082012	-51	95.0	145	85.9
chr4	53401629	53402629	8	86.0	-244	83.3
chr19	47023593	47024593	6	86.0	307	80.6
chr9	36257508	36258508	17	94.2	126	82.4
chr13	103248712	103249712	22	90.0	50	81.7
chr14	55369096	55370096	15	97.2	-130	81.2
chr18	4752866	4753866	-2	94.7	46	94.7
chr6	49284350	49285350	7	94.7	31	92.7
chr11	85324217	85325217	-16	95.0	32	91.6
chr18	21728471	21729471	37	90.7	206	90.7
chr19	49457462	49458462	24	93.2	-31	91.3
chr1	46048685	46049685	7	85.2	-81	84.8
chr10	5453982	5454982	9	95.1	-267	87.0
chr2	220083234	220084234	17	96.5	-276	78.1
chr9	123604857	123605857	410	81.9	431	76.6
chr5	109024497	109025497	25	89.1	115	80.6
chr1	156472743	156473743	22	93.4	-14	84.9
chr10	123357584	123358584	-19	92.2	386	77.9
chr17	66095798	66096798	11	90.2	-27	89.2
chr4	54219195	54220195	47	92.7	96	90.4
chr4	152718742	152719742	-19	87.9	-49	83.7
chr1	116839826	116840826	5	92.7	29	91.6
chr13	60969983	60970983	23	99.6	49	80.9
chr17	1732727	1733727	-4	86.8	81	86.2
chr8	87354115	87355115	378	86.9	56	85.0
chr12	6579447	6580447	219	88.2	30	80.5
chr10	97453246	97454246	27	96.8	60	92.4
chr7	4814671	4815671	9	91.7	327	76.6
chr9	33001181	33002181	11	86.5	-407	81.8
chr12	127741628	127742628	47	94.3	-13	91.5
chr17	78504916	78505916	14	93.1	-28	87.9
chr6	6761797	6762797	18	94.7	67	90.7
chr5	104728261	104729261	-31	94.7	7	93.7
chr1	219401038	219402038	3	93.3	39	86.6
chr1	230182569	230183569	1	90.5	-262	83.3
chr10	3031425	3032425	106	98.1	32	97.7
chr6	36330895	36331895	105	90.7	67	90.2
chr15	73925338	73926338	18	91.6	213	83.2
chr13	76093075	76094075	-26	94.7	-74	93.0
chr15	99543542	99544542	-38	94.7	-62	89.6
chr22	39317511	39318511	32	87.0	-12	85.0
chr5	8840550	8841550	7	95.0	-41	93.0
chr5	16985111	16986111	-69	94.7	-93	94.7
chr4	178420813	178421813	-23	94.7	-88	90.4
chr3	38479854	38480854	-11	94.7	-59	94.7
chr2	64710929	64711929	-5	99.3	-42	88.3
chr2	119641066	119642066	32	94.7	99	91.9
chr1	76223993	76224993	28	94.7	-86	91.8
chr1	120838222	120839222	58	96.5	-303	90.8
chr1	51425425	51426425	14	89.1	-333	76.9
chr1	233748787	233749787	-19	90.6	460	90.3
chr12	102513409	102514409	20	86.9	425	80.9
chr17	31121195	31122195	221	87.8	179	84.8
chr17	7359163	7360163	27	91.8	-393	79.9
chr3	195292252	195293252	-13	92.8	-50	85.1
chr13	113273655	113274655	10	96.6	43	95.3
chr12	6242132	6243132	47	94.7	-1	94.1
chr17	30263583	30264583	-85	100.0	-125	83.4
chr18	11716073	11717073	23	90.4	-15	90.2
chr7	23324938	23325938	31	96.2	65	88.2
chr3	112488640	112489640	-12	96.1	-129	77.6
chr8	70811736	70812736	-3	93.4	448	85.9
chr8	134661307	134662307	-13	90.7	-116	79.6
chr1	165796304	165797304	11	82.1	-14	80.5
chr6	26233724	26234724	-33	93.0	389	81.5
chr1	166957853	166958853	-10	100.0	120	97.4
chr3	39447611	39448611	55	93.1	-176	76.6
chr10	17060297	17061297	-110	94.7	28	92.4
chr4	73743070	73744070	33	94.7	-15	90.0
chr4	76971054	76972054	74	88.7	-344	84.5
chr8	55970044	55971044	56	94.7	-17	93.0
chr11	116980259	116981259	26	94.5	74	93.0
chr10	18875277	18876277	18	95.0	42	90.4
chr16	25277005	25278005	19	91.3	-13	88.3
chr18	44240657	44241657	7	97.5	-467	89.7
chr7	68858968	68859968	74	90.2	36	89.2
chr5	54909387	54910387	330	96.4	306	93.0
chr5	112410839	112411839	31	94.7	7	91.3
chr3	132885550	132886550	-312	95.2	-3	93.3
chr1	231424311	231425311	40	94.7	89	89.2
chr17	60772464	60773464	2	94.7	-22	94.7
chr19	57921975	57922975	-6	90.9	-184	83.5
chr6	164227772	164228772	0	93.4	30	92.3
chr8	38853623	38854623	-40	88.9	112	87.7
chr3	48754220	48755220	-388	85.9	-14	84.3
chr18	11946912	11947912	-88	77.1	469	77.0
chr12	1064806	1065806	-10	87.9	376	82.7
chr6	110363675	110364675	17	93.3	51	86.9
chr6	135946910	135947910	-2	94.8	-93	93.5
chr5	95954724	95955724	-75	94.7	-99	92.8
chr2	182009611	182010611	43	95.0	19	93.0
chr1	156163267	156164267	-118	88.7	50	83.1
chr17	3795907	3796907	13	95.5	47	92.9
chr3	15900849	15901849	41	93.5	-3	86.7
chr3	48229540	48230540	-24	97.0	-76	88.8
chr17	39684185	39685185	10	92.6	-137	80.5
chr17	43212502	43213502	-8	95.3	-50	85.9
chr12	118086241	118087241	-90	99.8	-48	97.8
chr2	20831374	20832374	-4	96.8	32	87.7
chr12	112123333	112124333	0	84.6	-264	83.9
chrX	134059871	134060871	-24	94.7	-48	92.7
chr13	25196471	25197471	56	94.7	104	93.0
chr12	96503120	96504120	9	94.7	-209	88.9
chr15	26302446	26303446	-27	94.7	-51	93.0
chr22	43738913	43739913	15	95.7	60	95.6
chr20	39538088	39539088	53	90.7	15	90.2
chr7	80555966	80556966	-69	95.2	-93	94.7
chr6	24142642	24143642	16	94.7	40	94.7
chr6	155684602	155685602	35	90.2	-172	88.9
chr5	17311066	17312066	10	90.2	48	89.2
chr3	45026747	45027747	46	94.7	94	90.7
chr2	234931849	234932849	0	94.7	48	93.0
chr1	195691111	195692111	-2	93.3	-40	90.2
chr3	40498259	40499259	-10	92.1	-209	81.4
chr9	91300010	91301010	-43	94.7	5	93.0
chr13	44715683	44716683	14	84.8	-24	83.2
chr19	45121602	45122602	222	91.1	30	88.2
chr20	47459352	47460352	6	97.9	48	89.2
chr19	4723355	4724355	26	84.5	-423	82.7
chr1	36235170	36236170	2	85.0	173	83.6
chr6	26195196	26196196	-4	93.5	275	76.9
chr17	79881092	79882092	-2	90.3	19	81.1
chr22	38577470	38578470	4	87.5	-90	87.1
chr6	119214838	119215838	-4	90.9	219	81.9
chr17	56415150	56416150	-25	90.3	-280	78.8
chr19	10945853	10946853	36	86.5	-57	86.3
chr1	3566193	3567193	0	87.4	121	74.8
chr17	21156290	21157290	17	80.9	394	77.1
chr10	30368058	30369058	-3	85.2	-39	83.4
chr17	61163769	61164769	-6	94.7	18	94.7
chr22	50264846	50265846	3	97.9	-20	97.9
chr5	124228383	124229383	-5	94.7	-51	93.0
chr1	2730072	2731072	-10	94.7	-34	93.0
chr19	13779429	13780429	-34	93.7	20	82.5
chr7	122542418	122543418	20	88.0	427	81.8
chr3	16005092	16006092	-25	93.9	11	93.1
chr3	39850540	39851540	17	95.5	-356	73.9
chr14	23770672	23771672	-17	96.5	-376	85.2
chr19	10805973	10806973	33	93.3	97	80.0
chr19	19843469	19844469	3	93.9	-73	86.1
chr19	12075321	12076321	-28	96.6	-168	81.0
chr20	58843323	58844323	-13	94.2	24	92.8
chr5	37851639	37852639	20	86.5	-15	86.2
chrX	134477599	134478599	-42	97.7	-76	86.9
chr14	24616083	24617083	7	96.9	31	80.0
chr17	33605204	33606204	-27	90.2	-255	83.1
chr15	26217859	26218859	2	94.7	26	94.7
chr14	104328592	104329592	-39	96.2	-58	94.4
chr19	23299263	23300263	-14	92.3	15	91.2
chr2	62268913	62269913	-239	93.3	-215	92.7
chr16	838068	839068	27	92.1	-100	89.6
chr5	131630984	131631984	18	88.7	-242	86.7
chr19	8103389	8104389	-12	89.3	106	83.8
chr20	61568838	61569838	-490	84.7	30	84.6
chr11	67120590	67121590	0	93.3	42	90.5
chr16	19388869	19389869	41	92.7	4	81.7
chr7	72929228	72930228	-7	83.9	-294	78.0
chr11	125756960	125757960	-36	91.6	4	89.8
chr19	12945809	12946809	4	97.0	-342	94.1
chr12	49532103	49533103	-23	91.8	333	85.2
chr17	26052595	26053595	61	93.3	12	93.0
chr6	7441701	7442701	327	94.7	279	93.0
chr6	31239413	31240413	10	93.5	35	88.7
chr5	576893	577893	26	95.0	50	95.0
chr1	246047543	246048543	58	95.0	17	90.9
chr19	13296785	13297785	-227	90.9	52	88.9
chr3	157028146	157029146	-16	92.5	-325	81.1
chr11	119251931	119252931	24	86.0	432	82.8
chr17	8095141	8096141	-14	93.1	17	86.9
chr1	100714998	100715998	-25	88.7	-63	86.6
chr12	11700446	11701446	-32	90.9	5	90.2
chr11	48250608	48251608	386	96.4	338	93.0
chr16	58434842	58435842	90	95.0	43	94.7
chr15	64353466	64354466	-24	94.7	-73	90.7
chr14	33667099	33668099	-42	95.0	-66	94.7
chr18	10915441	10916441	-1	90.4	40	90.4
chr5	132730318	132731318	-68	95.0	-20	94.7
chr1	172772589	172773589	-42	96.4	-18	94.7
chr9	129353022	129354022	61	96.3	-7	84.1
chr8	27115475	27116475	17	96.0	43	82.7
chr13	23404248	23405248	35	94.7	59	94.7
chr19	50305257	50306257	282	87.4	22	86.6
chr11	75273343	75274343	1	87.1	165	81.0
chr20	39765062	39766062	3	88.4	-128	79.3
chr16	79879353	79880353	-2	90.1	-129	82.4
chr12	122231409	122232409	11	100.0	43	91.7
chr21	21775383	21776383	2	94.7	26	94.7
chr6	86260695	86261695	-1	98.2	23	97.8
chr8	102491787	102492787	11	96.2	-80	84.9
chr7	140185306	140186306	-5	96.5	-24	79.8
chr3	13310931	13311931	-32	89.9	9	88.2
chr12	116744430	116745430	-5	92.3	28	85.3
chr10	74086044	74087044	-100	90.6	-62	90.2
chr16	86637665	86638665	51	98.2	-261	83.0
chr9	101753046	101754046	18	96.4	66	93.0
chr19	528305	529305	22	90.1	57	85.5
chr11	62366269	62367269	103	95.6	-22	84.4
chr10	977252	978252	35	91.2	113	88.7
chr1	201687613	201688613	-4	93.9	23	92.1
chr1	226637264	226638264	-106	90.3	-70	86.3
chr15	96873302	96874302	-21	93.2	20	76.3
chrX	100662483	100663483	-18	91.6	89	89.5
chr21	33031434	33032434	-1	86.1	-52	83.0
chr12	29267558	29268558	26	95.0	2	94.7
chr11	32908946	32909946	23	94.7	71	93.0
chr7	145056486	145057486	27	94.7	51	93.0
chr1	166311067	166312067	-29	94.7	20	90.7
chr9	77680129	77681129	-17	99.6	16	86.6
chr9	106957094	106958094	23	94.7	-50	90.7
chr8	93405335	93406335	-51	94.7	63	93.0
chr5	19141976	19142976	15	90.2	53	89.2
chr1	87896273	87897273	-15	94.7	-63	94.7
chr14	100841382	100842382	-14	94.2	24	85.0
chr6	20212233	20213233	16	94.1	337	83.8
chr15	85923152	85924152	255	81.8	25	81.1
chr1	27926623	27927623	-45	91.1	11	86.6
chr9	101033411	101034411	-48	91.4	-12	87.1
chr17	46703348	46704348	-9	84.4	-157	80.4
chr15	97034146	97035146	29	90.2	67	88.9
chr14	71468201	71469201	25	91.6	-183	80.7
chr20	55923704	55924704	48	90.2	10	89.2
chr5	179859266	179860266	64	96.4	40	92.7
chr1	215567341	215568341	-17	94.7	55	90.4
chr8	102891346	102892346	53	91.3	29	90.9
chr1	228044615	228045615	69	89.9	-11	88.2
chr19	3162048	3163048	65	96.9	13	92.0
chr10	73136790	73137790	0	84.3	-208	76.9
chr17	64763406	64764406	2	91.2	-183	83.6
chr15	78645118	78646118	-11	92.7	21	81.1
chr3	107844195	107845195	20	87.9	-97	80.5
chr15	74023692	74024692	154	94.8	-38	94.7
chr20	44364920	44365920	-15	94.7	-63	92.7
chr7	124938755	124939755	46	93.0	22	90.9
chr3	155770143	155771143	8	95.0	-16	91.3
chr2	178700683	178701683	63	94.7	39	91.3
chrX	118466392	118467392	-46	90.2	-253	88.9
chr14	64804983	64805983	-25	96.5	78	84.4
chr19	12813523	12814523	31	94.8	-9	91.7
chr2	10552191	10553191	3	94.6	-488	84.0
chr11	65125045	65126045	-8	93.5	139	85.6
chr13	100148545	100149545	36	96.6	106	96.6
chr17	37533083	37534083	-8	96.1	299	77.9
chr6	2484141	2485141	-155	94.7	-203	94.7
chr5	2854235	2855235	-151	94.7	-88	88.9
chrX	124891833	124892833	-47	93.1	54	91.6
chr3	127871480	127872480	-65	91.4	8	90.6
chr7	99277174	99278174	12	88.8	-485	80.1
chr11	94706297	94707297	9	87.2	384	80.7
chr12	56881792	56882792	-13	92.6	-63	83.8
chr14	99603939	99604939	20	86.9	-171	81.5
chr7	105675685	105676685	-13	96.6	59	96.6
chr11	64937124	64938124	13	91.7	171	84.0
chr7	92157560	92158560	6	91.9	-29	85.3
chr12	63326690	63327690	6	91.3	24	88.1
chr20	48001709	48002709	-9	92.7	491	78.7
chr7	30542591	30543591	-16	95.5	405	80.3
chr1	113825189	113826189	24	87.8	228	82.6
chr12	127646588	127647588	-56	95.9	-4	93.2
chr19	6692653	6693653	8	97.3	-32	92.8
chrX	101771168	101772168	60	99.3	322	80.0
chr11	85316976	85317976	69	95.0	117	94.7
chr5	122643737	122644737	13	94.8	-11	91.9
chr5	126905555	126906555	-14	95.0	-62	93.0
chr5	158351983	158352983	-4	86.6	-203	83.0
chr4	88039600	88040600	66	95.0	15	93.5
chr2	204209030	204210030	106	95.3	-26	94.6
chr8	107834133	107835133	-224	96.4	-272	94.7
chr14	67707412	67708412	-28	91.1	6	81.6
chr9	100395307	100396307	25	89.8	255	81.7
chr4	159592676	159593676	-46	88.4	-156	77.6
chrX	111352205	111353205	58	94.8	9	94.7
chr10	114109569	114110569	2	94.7	-22	92.7
chr3	190902889	190903889	3	94.7	-69	93.0
chr1	192467215	192468215	26	94.3	74	93.0
chr1	47184342	47185342	-5	93.7	-216	83.2
chr6	126516413	126517413	20	93.4	-49	88.7
chr11	119245896	119246896	3	96.0	169	78.9
chr14	73360416	73361416	-21	96.8	-52	94.9
chr19	49391118	49392118	18	91.8	118	88.1
chr2	133029933	133030933	-161	76.3	-55	75.8
chr16	29759744	29760744	32	96.4	-16	92.7
chr16	50893541	50894541	-30	94.2	39	88.6
chr14	21147775	21148775	23	91.4	266	77.8
chr19	21452256	21453256	46	94.1	17	90.8
chr21	47482853	47483853	78	96.1	18	92.5
chr6	179771	180771	61	96.4	37	93.0
chr6	80516115	80517115	3	94.7	-45	94.7
chr4	37455028	37456028	-12	86.4	433	81.7
chr3	168153840	168154840	-20	97.4	-61	94.7
chr9	135964387	135965387	13	95.0	47	88.2
chr1	2130403	2131403	12	93.0	-411	79.6
chr5	108992274	108993274	-23	77.3	-408	75.0
chr2	113913596	113914596	-46	98.3	-22	97.3
chr11	74809495	74810495	-60	90.9	-22	90.2
chr15	27853537	27854537	30	94.7	54	94.7
chr7	123402187	123403187	1	96.4	49	93.0
chr12	51318216	51319216	18	91.8	140	76.9
chr16	22203201	22204201	459	89.1	487	80.1
chrX	48659842	48660842	415	93.2	-2	88.9
chr8	125537892	125538892	-13	93.4	-43	88.1
chr14	62161488	62162488	27	97.5	82	83.5
chr19	50368259	50369259	-17	85.9	-166	78.7
chr7	75795487	75796487	-14	92.0	279	84.9
chr19	3070170	3071170	68	99.6	3	99.3
chrX	19147513	19148513	-392	90.4	-52	89.3
chr15	33814832	33815832	43	94.7	-22	90.4
chr14	92044754	92045754	-21	96.4	-69	93.0
chr18	13133854	13134854	-26	94.7	22	93.0
chr7	39233733	39234733	-56	95.0	-80	95.0
chr6	17341086	17342086	494	95.0	1	90.7
chr1	174680796	174681796	23	93.3	-1	93.0
chr8	22132290	22133290	-11	91.3	-52	89.5
chr13	96582829	96583829	-7	94.7	41	93.0
chr15	79139424	79140424	21	90.2	-186	88.7
chr14	82080373	82081373	16	94.7	40	88.9
chr6	26033408	26034408	3	96.5	23	88.1
chrX	53460825	53461825	21	94.3	185	84.1
chr20	52550535	52551535	-229	87.3	-331	83.1
chr1	159750152	159751152	-43	94.9	58	86.7
chr2	63815379	63816379	3	88.3	-65	82.4
chr12	71558930	71559930	-10	93.0	15	90.4
chr15	71506001	71507001	33	94.7	-15	90.4
chr4	6201798	6202798	49	93.5	402	81.6
chr2	53713247	53714247	262	90.7	303	90.6
chr16	89989156	89990156	17	94.0	42	81.5
chr6	37006926	37007926	-14	88.3	-482	81.8
chr12	104326736	104327736	20	91.2	2	88.5
chr19	35166522	35167522	7	93.2	97	85.8
chr18	43932186	43933186	5	92.3	364	86.6
chr20	55304730	55305730	17	97.0	59	82.4
chr7	99098491	99099491	-17	94.7	8	93.0
chr19	49077605	49078605	-53	87.1	53	83.7
chr3	197024565	197025565	-12	96.7	237	77.6
chr10	91403282	91404282	14	95.8	-50	93.1
chr7	156802917	156803917	-11	92.3	34	91.3
chrX	13447917	13448917	7	91.7	191	82.4
chr12	30262442	30263442	-63	94.7	-15	93.0
chr14	65125091	65126091	25	90.2	-13	89.2
chr7	65695649	65696649	-143	90.7	-350	90.2
chr7	126446054	126447054	18	94.7	42	93.0
chr6	178595	179595	-28	94.7	128	90.7
chr6	10073851	10074851	60	94.7	108	93.0
chr5	103439901	103440901	-6	94.7	214	92.2
chr5	111161446	111162446	30	94.7	-18	93.5
chr4	177396967	177397967	44	94.7	92	94.7
chr8	116341897	116342897	29	94.7	53	92.7
chr11	107630978	107631978	51	96.4	3	94.7
chr6	127701307	127702307	-65	94.7	-89	89.7
chr6	141496263	141497263	-6	94.3	-54	92.7
chr17	35293502	35294502	16	95.0	83	80.2
chr8	94928486	94929486	116	94.8	-28	90.7
chr13	50366750	50367750	13	81.1	-316	80.7
chr17	80712449	80713449	86	92.7	-272	84.5
chr8	103424625	103425625	-3	93.4	-52	83.8
chr9	123130807	123131807	-23	99.3	292	83.5
chr14	94004472	94005472	-43	96.7	10	86.3
chr7	23232483	23233483	-30	94.8	19	90.7
chr6	166805946	166806946	-3	94.7	46	90.7
chr2	205099297	205100297	-70	96.6	-4	91.9
chr1	226157977	226158977	-72	90.7	-34	90.2
chr1	45308431	45309431	56	96.9	-269	87.5
chr1	24262992	24263992	-14	96.5	-284	91.5
chr1	25844157	25845157	-375	96.2	1	94.6
chr7	152456337	152457337	-40	99.4	-125	77.4
chr5	43007818	43008818	38	91.4	-36	85.8
chr17	27757003	27758003	-9	96.6	-125	95.0
chr16	21648179	21649179	-164	94.7	-140	92.7
chr2	34088170	34089170	123	95.0	27	94.7
chr10	88281140	88282140	20	90.1	-46	87.7
chr19	37262041	37263041	-40	93.1	-215	93.1
chr2	242254192	242255192	-6	88.3	-449	83.5
chr9	97241036	97242036	-5	96.0	-62	91.1
chr13	25817943	25818943	-31	96.4	-55	94.7
chr11	38299282	38300282	39	94.7	63	94.4
chr7	97565459	97566459	19	94.7	-31	88.9
chr4	38184444	38185444	-39	94.7	-63	89.7
chr15	76628414	76629414	-15	96.5	14	82.0
chr6	7261122	7262122	52	94.5	-417	81.1
chr11	124993709	124994709	5	87.5	56	78.5
chr3	131080086	131081086	16	96.3	120	90.4
chrX	9752079	9753079	-28	95.0	37	90.6
chr15	24322546	24323546	25	94.7	49	94.4
chr14	101072951	101073951	-46	91.5	32	85.4
chr5	33514613	33515613	30	90.9	-8	90.2
chr4	134069877	134070877	-21	91.4	16	88.2
chr3	135497552	135498552	-15	94.4	18	90.0
chr11	60928249	60929249	481	88.2	-18	87.2
chr21	15755190	15756190	-136	86.5	-430	80.5
chr19	58325823	58326823	28	85.2	-59	82.6
chr12	119591110	119592110	-9	93.6	341	76.6
chr14	91294060	91295060	3	95.1	49	85.0
chr21	27150890	27151890	-57	92.7	-33	91.3
chr5	170882254	170883254	3	91.9	38	90.0
chr5	171266691	171267691	85	94.7	16	83.3
chr8	11561169	11562169	-8	86.0	-203	79.2
chr4	41991966	41992966	-106	82.5	2	81.6
chr2	158732427	158733427	-21	93.8	175	78.9
chr2	172369942	172370942	-15	89.9	61	89.5
chr13	81800683	81801683	0	94.7	48	93.0
chr12	123732861	123733861	-21	94.7	3	94.4
chr10	44254908	44255908	14	94.7	38	92.7
chr14	82134216	82135216	-191	96.4	-143	92.7
chr22	38112910	38113910	41	94.7	90	90.6
chr6	11171502	11172502	-5	94.7	-54	90.9
chr4	17437316	17438316	89	93.0	65	91.3
chr4	138973202	138974202	-26	94.7	-2	92.7
chr4	107445614	107446614	3	90.2	208	88.9
chr16	20774501	20775501	276	87.9	-23	85.9
chr1	27998264	27999264	10	83.7	298	82.0
chr6	32577253	32578253	-13	92.4	410	81.5
chr11	10929761	10930761	16	96.6	152	94.8
chr19	23577819	23578819	10	90.8	39	83.5
chr15	74345137	74346137	95	94.7	71	93.0
chr2	45059936	45060936	86	97.5	27	87.2
chr14	61190577	61191577	29	91.2	-132	85.0
chr7	120689024	120690024	2	94.0	-159	90.4
chr12	108513466	108514466	-69	99.7	-30	88.3
chr6	14038903	14039903	20	90.3	194	80.2
chr6	18089465	18090465	81	94.7	33	90.7
chr9	131205050	131206050	173	85.7	1	85.2
chr1	37889156	37890156	-113	92.5	3	84.1
chr1	32859635	32860635	-28	78.7	1	77.5
chr9	129525339	129526339	0	88.1	31	79.6
chr15	40856827	40857827	-12	91.0	155	83.8
chr1	25875782	25876782	-10	84.6	396	81.1
chr10	103985527	103986527	-42	94.7	-419	81.2
chrX	119158914	119159914	-11	94.8	37	93.0
chr6	123523469	123524469	72	94.7	24	93.0
chr4	17414917	17415917	-8	96.4	16	94.4
chr3	2527077	2528077	-13	94.7	-298	90.4
chr3	151870611	151871611	-4	94.7	-53	90.9
chr3	158667724	158668724	24	91.0	-348	79.0
chr8	80288564	80289564	27	90.2	65	89.2
chr8	6649284	6650284	-19	96.5	-53	89.8
chr13	98727695	98728695	-4	94.7	20	93.0
chr9	34438198	34439198	-71	94.9	86	90.2
chr19	17882648	17883648	42	97.7	-8	94.3
chr6	5737433	5738433	-15	97.9	-91	84.5
chr7	97501312	97502312	-8	83.8	472	78.6
chr19	9433914	9434914	64	94.8	-59	94.4
chr1	152020130	152021130	-433	84.4	410	81.1
chr20	37264210	37265210	14	87.9	-136	76.7
chr5	81119671	81120671	83	90.2	-74	88.9
chr4	15787352	15788352	324	95.0	50	94.8
chr2	240243414	240244414	-90	94.9	-34	94.6
chr19	14052752	14053752	17	97.8	-51	93.0
chr22	39928470	39929470	73	82.8	-468	80.0
chr1	39211126	39212126	-26	95.2	10	87.7
chr17	27396359	27397359	10	88.6	-294	82.5
chr20	49084288	49085288	-25	93.2	-377	79.1
chr7	133879278	133880278	19	96.1	452	82.8
chr6	31275423	31276423	19	91.4	-282	82.2
chr1	57538132	57539132	31	86.8	-483	83.0
chr7	65958148	65959148	5	92.0	298	84.9
chr9	130860170	130861170	68	93.5	-9	90.2
chr6	47654862	47655862	21	96.4	-278	87.7
chr3	126190856	126191856	-11	90.8	303	79.4
chr1	145412514	145413514	-428	83.2	-83	77.9
chr13	32568183	32569183	-56	94.7	-80	94.7
chr11	107367771	107368771	28	95.0	52	94.7
chr6	116417384	116418384	-43	95.0	-19	94.7
chr4	68017809	68018809	19	90.2	-19	89.2
chr4	87468640	87469640	-60	90.9	-22	90.2
chr4	127794502	127795502	-28	94.7	20	93.0
chr3	133249063	133250063	33	92.5	-321	85.2
chr1	59474021	59475021	-5	88.1	36	85.6
chr12	20162517	20163517	38	94.7	194	90.7
chr20	55524121	55525121	-12	92.8	-48	90.7
chr5	65891610	65892610	16	89.1	-483	77.5
chr12	1799638	1800638	-7	91.1	-352	80.6
chr2	231893261	231894261	-13	97.1	48	78.9
chr10	13432308	13433308	-19	95.8	440	86.3
chr20	49822275	49823275	21	91.4	-352	81.3
chr3	141507795	141508795	64	94.6	23	84.0
chr10	43802025	43803025	-25	94.7	40	90.9
chr5	150225221	150226221	302	94.7	254	92.7
chr4	38161803	38162803	-12	93.0	-143	82.6
chr1	17814008	17815008	-17	96.5	-429	78.1
chr9	101920602	101921602	36	96.6	174	94.8
chr19	6279582	6280582	59	95.5	-32	91.2
chr8	107737765	107738765	-303	81.3	252	79.8
chr17	17390063	17391063	-47	90.6	-9	90.2
chr20	56204168	56205168	-22	90.7	15	90.2
chr1	161448983	161449983	83	91.5	35	91.3
chr9	3733995	3734995	0	94.7	-24	93.0
chr3	3168079	3169079	2	85.2	-208	77.8
chr7	145281867	145282867	75	94.7	-97	90.7
chr19	58962425	58963425	282	79.8	26	77.3
chr18	9896792	9897792	-10	98.3	54	97.9
chr3	167452452	167453452	1	91.9	-98	87.6
chr18	35249804	35250804	-11	99.6	-103	88.6
chr5	1379812	1380812	4	92.7	-20	92.7
chr5	137981161	137982161	-29	96.5	275	80.6
chr1	25559281	25560281	17	96.5	300	79.7
chr17	26898079	26899079	-8	92.4	42	89.3
chr11	13136030	13137030	-5	87.3	186	75.8
chr1	43854973	43855973	43	93.4	137	86.1
chr19	20188240	20189240	-10	93.9	19	84.8
chr6	25382437	25383437	74	90.9	-58	90.7
chr6	169880982	169881982	-59	93.5	-11	93.1
chr4	55014639	55015639	-41	93.0	-89	92.7
chr4	103950157	103951157	-26	99.3	-1	97.7
chr2	196380683	196381683	37	94.7	-7	93.0
chr2	238969051	238970051	41	91.1	17	84.9
chr1	14887487	14888487	-11	94.4	-46	89.1
chr1	116688186	116689186	21	90.7	-17	90.2
chr1	117715017	117716017	-5	94.7	-70	90.4
chr7	156910204	156911204	-15	97.8	-32	93.0
chr16	84277087	84278087	-96	97.8	-67	92.5
chr22	42666154	42667154	33	93.2	240	74.0
chr2	64998594	64999594	-10	98.2	-46	88.9
chr1	245208493	245209493	-9	98.3	-151	91.0
chr9	112770633	112771633	-12	92.1	72	85.4
chr9	133825816	133826816	-10	93.3	-84	82.8
chr6	86388014	86389014	-314	85.9	15	82.9
chr17	38136288	38137288	-395	82.0	0	81.3
chr6	49430500	49431500	2	84.4	20	82.3
chr6	39692735	39693735	10	90.1	-32	82.0
chr2	179387393	179388393	-453	80.0	-110	78.9
chr1	145454929	145455929	29	95.0	-2	91.3
chr15	80364364	80365364	-35	90.6	385	81.2
chr9	34620048	34621048	-13	93.3	-326	91.0
chr12	72579312	72580312	-8	90.2	-205	88.7
chr7	113127283	113128283	33	94.7	57	92.4
chr6	3703750	3704750	20	94.7	62	86.1
chr6	30968571	30969571	-95	90.7	-57	90.2
chr4	17522912	17523912	53	97.7	-19	93.4
chr3	6448349	6449349	57	90.4	-75	90.4
chr3	21427573	21428573	19	94.7	67	93.0
chr3	155940631	155941631	37	94.7	85	92.7
chr2	62762319	62763319	23	94.7	71	94.7
chr1	228909709	228910709	12	91.9	-26	90.6
chr7	149570490	149571490	-41	98.2	181	79.7
chr14	75725438	75726438	45	98.2	15	82.7
chr12	5997156	5998156	-17	94.7	225	88.9
chr8	93412811	93413811	-24	94.7	0	92.7
chr6	150590520	150591520	-11	92.9	-483	90.4
chr10	73680127	73681127	15	96.1	-191	84.8
chr1	6797004	6798004	-356	94.3	235	85.9
chr8	49384898	49385898	28	96.6	-25	94.4
chr15	57072152	57073152	-55	94.7	-103	93.0
chr7	104805435	104806435	206	93.1	56	90.4
chr2	176486264	176487264	-30	92.6	381	86.1
chr2	46489345	46490345	46	94.7	242	88.6
chr12	54890927	54891927	16	86.6	139	85.9
chr15	45878846	45879846	28	90.1	-440	80.9
chr16	28014384	28015384	-7	96.0	-45	86.4
chr9	36765659	36766659	-9	94.5	-27	85.0
chr16	21963878	21964878	2	89.7	-181	76.7
chr19	45216130	45217130	-8	83.0	460	75.1
chr1	36334863	36335863	-31	91.1	231	77.9
chrX	119024811	119025811	-25	90.9	-194	88.9
chr12	8034010	8035010	44	90.9	82	90.2
chr10	106005193	106006193	-73	94.7	-97	93.0
chr18	37825301	37826301	-19	94.7	-68	92.0
chr18	57845083	57846083	63	95.0	15	94.7
chr2	33110761	33111761	-11	96.4	198	90.7
chr2	131966359	131967359	34	96.0	91	96.0
chr22	20745733	20746733	-29	90.4	129	88.9
chrX	48165305	48166305	-17	99.3	14	94.5
